Temperature(°C),Pressure(bar),FlowRate(L/min),Vibration(mm/s),FillHeight(mm),PowerConsumption(kW),CO2_Level(ppm),Humidity(%),Label,ErrorCode
37.3569448,2.248383609,155.26466,0.40873235,254.7850597,3.338170889,408.0418166,48.91252744,0,E000
44.49586324,2.277852776,157.2214328,0.509861048,251.8146061,2.895082063,389.2958807,55.1298529,0,E000
26.88444757,2.31518729,175.0074885,0.338866736,250.618981,3.146704678,330.4564192,49.44231702,1,E007
44.60644145,10.75196381,167.162764,0.505352504,249.2934278,3.489306085,365.0732407,49.18256375,1,E002
25.47277172,2.843326168,144.9379946,0.453513314,246.7076028,2.962125538,362.7420783,46.37906904,0,E000
41.3166625,2.247340316,146.9763707,0.398606169,253.8065058,3.359770462,360.8160352,53.48308372,0,E000
39.48677634,2.968065812,142.7376284,0.424750782,252.8815979,3.46232965,397.0248986,55.68373338,0,E000
41.25802018,2.743193199,177.5411913,0.50265862,247.1524382,3.078584512,386.4152819,59.78957916,0,E000
35.74213084,2.913286948,167.5635061,0.519422335,249.3714811,3.197723053,387.4964549,47.01685561,0,E000
31.70394483,2.722706958,150.0924771,0.434323358,249.3803366,3.380311681,445.3016176,45.87646486,0,E000
41.92904583,2.964028847,179.4934463,0.29468819,250.4229998,3.21750757,444.6563843,46.41413967,0,E000
32.85008635,2.894282719,173.8702507,0.296649709,251.9174571,-16.64778084,384.8990108,57.47764159,1,E006
33.72253058,2.101892388,147.0861409,0.501390242,254.5413164,2.856697361,437.6605278,46.51726587,0,E000
33.73445116,2.652113979,132.295927,0.450779142,251.4136682,3.419307727,390.2999759,55.83831145,1,E003
43.3336265,2.233265902,171.2323059,0.449080158,246.5422274,3.085416838,340.5726594,54.22951764,1,E007
43.28597613,2.76103779,176.096131,0.549471214,247.0865191,2.983860833,439.9983277,51.00893061,0,E000
40.6105103,2.419271661,151.6764469,0.338687504,247.3339627,3.26655613,406.528896,50.41641665,0,E000
27.75041888,2.565021993,159.7027628,0.337210685,245.3881295,2.915067577,427.6860327,56.46330726,0,E000
